geo_boundary_type_id,geo_boundary_identifier,geo_boundary_definition_id,time_frame,index_raw,index_normalized,index_zscore,index_percentile,index_category
"4","01001","54","2020","39300","0.98","0.36","65.42","Above Average"
"4","01003","54","2020","145554","0.99","0.43","68.39","Above Average"
"4","01005","54","2020","24233","1.18","1.85","97.09","High"
"4","01007","54","2020","18562","1.06","0.95","83.36","Above Average"
"4","01009","54","2020","45082","1.05","0.89","81.75","Above Average"
"4","01011","54","2020","10210","1.23","2.27","99.01","Very high"
"4","01013","54","2020","19364","1.25","2.43","99.44","Very high"
"4","01015","54","2020","98862","1.11","1.37","91.49","High"
"4","01017","54","2020","31967","1.22","2.18","98.70","Very high"
"4","01019","54","2020","22224","1.10","1.26","90.01","High"
"4","01021","54","2020","35868","1.10","1.30","90.84","High"
"4","01023","54","2020","12999","1.25","2.37","99.20","Very high"
"4","01025","54","2020","22657","1.20","2.00","97.80","High"
"4","01027","54","2020","11959","1.13","1.54","93.60","High"
"4","01029","54","2020","11986","1.06","1.00","84.44","Above Average"
"4","01031","54","2020","39851","1.05","0.93","82.96","Above Average"
"4","01033","54","2020","43961","1.05","0.88","81.50","Above Average"
"4","01035","54","2020","13337","1.35","3.15","99.94","Very high"
"4","01037","54","2020","11097","1.24","2.30","99.07","Very high"
"4","01039","54","2020","31024","1.08","1.10","86.51","High"
"4","01041","54","2020","12231","1.16","1.77","96.29","High"
"4","01043","54","2020","68598","1.11","1.35","91.37","High"
"4","01045","54","2020","39829","1.07","1.05","85.43","High"
"4","01047","54","2020","37370","1.22","2.15","98.58","Very high"
"4","01049","54","2020","49681","0.95","0.13","56.88","Above Average"
"4","01051","54","2020","62912","1.03","0.79","79.43","Above Average"
"4","01053","54","2020","34249","1.18","1.88","97.28","High"
"4","01055","54","2020","85191","1.07","1.09","86.30","High"
"4","01057","54","2020","16103","1.24","2.31","99.13","Very high"
"4","01059","54","2020","24250","1.03","0.79","79.43","Above Average"
"4","01061","54","2020","23296","1.14","1.56","93.88","High"
"4","01063","54","2020","7839","1.18","1.86","97.19","High"
"4","01065","54","2020","13815","1.21","2.09","98.36","Very high"
"4","01067","54","2020","15262","1.15","1.65","94.99","High"
"4","01069","54","2020","83635","1.08","1.17","88.37","High"
"4","01071","54","2020","45188","1.11","1.39","91.80","High"
"4","01073","54","2020","504221","1.01","0.64","75.04","Above Average"
"4","01075","54","2020","12690","1.15","1.68","95.24","High"
"4","01077","54","2020","73000","1.01","0.64","75.22","Above Average"
"4","01079","54","2020","28087","1.09","1.17","88.62","High"
"4","01081","54","2020","94416","0.84","-0.67","26.11","Below Average"
"4","01083","54","2020","66301","1.00","0.57","73.09","Above Average"
"4","01085","54","2020","10211","1.25","2.42","99.41","Very high"
"4","01087","54","2020","20814","1.33","2.98","99.88","Very high"
"4","01089","54","2020","256753","0.98","0.41","67.18","Above Average"
"4","01091","54","2020","18846","1.24","2.30","99.07","Very high"
"4","01093","54","2020","27266","1.16","1.71","95.64","High"
"4","01095","54","2020","68886","0.99","0.47","69.87","Above Average"
"4","01097","54","2020","323370","1.05","0.91","82.37","Above Average"
"4","01099","54","2020","20572","1.23","2.27","99.04","Very high"
"4","01101","54","2020","182983","1.08","1.11","86.82","High"
"4","01103","54","2020","89852","1.00","0.52","71.61","Above Average"
"4","01105","54","2020","9195","1.23","2.24","98.92","Very high"
