state,county,agegrp,tot_pop,tot_male,tot_female,wac_male,wac_female,bac_male,bac_female,h_male,h_female
1,1,0,55869,27092,28777,21372,22191,5514,6270,884,787
1,1,1,3277,1713,1564,1337,1189,409,396,86,60
1,1,2,3465,1787,1678,1369,1270,450,430,88,70
1,1,3,3851,1977,1874,1510,1415,490,465,94,79
1,1,4,3659,1854,1805,1386,1383,463,432,63,74
1,1,5,3178,1634,1544,1221,1172,393,364,62,50
1,1,6,3799,1858,1941,1393,1435,444,483,80,45
1,1,7,3533,1730,1803,1319,1342,384,430,66,57
1,1,8,3661,1762,1899,1378,1392,350,467,89,71
1,1,9,3604,1679,1925,1295,1399,357,472,60,71
1,1,10,3877,1874,2003,1499,1510,333,453,67,35
1,1,11,3775,1853,1922,1500,1498,324,391,46,38
1,1,12,3896,1895,2001,1554,1600,314,362,21,43
1,1,13,3370,1563,1807,1264,1417,278,364,21,24
1,1,14,2683,1296,1387,1063,1086,222,284,16,10
1,1,15,2330,1017,1313,883,1108,121,179,3,23
1,1,16,1796,743,1053,649,903,83,135,9,15
1,1,17,1179,498,681,427,586,66,79,6,10
1,1,18,936,359,577,325,486,33,84,7,12
1,3,0,223234,108247,114987,96730,102373,10346,11008,5545,4989
1,3,1,12039,6249,5790,5515,5042,808,821,651,482
1,3,2,13066,6728,6338,5909,5585,865,813,549,519
1,3,3,14079,7107,6972,6203,6103,902,886,594,521
1,3,4,13084,6579,6505,5736,5454,810,876,392,408
1,3,5,11091,5601,5490,4758,4682,800,738,314,300
1,3,6,12618,6241,6377,5218,5496,895,758,359,288
1,3,7,12551,6131,6420,5307,5580,714,729,435,401
1,3,8,13446,6551,6895,5726,5974,666,709,463,346
1,3,9,13224,6361,6863,5662,6039,567,609,394,344
1,3,10,14472,6957,7515,6256,6720,573,658,330,336
1,3,11,14319,6888,7431,6259,6628,520,631,321,263
1,3,12,16267,7724,8543,6957,7660,657,740,239,244
1,3,13,16148,7403,8745,6762,7971,537,668,186,201
1,3,14,14881,6916,7965,6418,7350,422,515,125,144
1,3,15,13163,6285,6878,5936,6446,271,342,103,78
1,3,16,9043,4219,4824,3991,4538,180,236,50,51
1,3,17,5297,2470,2827,2355,2662,96,132,21,22
1,3,18,4446,1837,2609,1762,2443,63,147,19,41
1,5,0,24686,13064,11622,6517,5863,6432,5685,629,488
1,5,1,1309,684,625,301,277,389,357,66,60
1,5,2,1408,684,724,312,333,379,401,66,81
1,5,3,1476,740,736,311,352,413,390,60,76
1,5,4,1402,739,663,330,297,404,365,53,31
1,5,5,1487,889,598,351,245,539,352,24,21
1,5,6,1785,1141,644,469,258,662,382,43,15
1,5,7,1669,1010,659,400,285,600,362,48,32
1,5,8,1545,911,634,433,265,456,358,65,41
1,5,9,1413,864,549,429,268,422,266,67,30
1,5,10,1578,898,680,469,333,415,343,48,33
1,5,11,1504,804,700,432,360,366,335,26,17
1,5,12,1709,846,863,467,453,371,401,24,16
1,5,13,1540,757,783,458,454,293,319,14,11
1,5,14,1501,691,810,399,448,289,356,9,8
1,5,15,1365,610,755,398,460,209,285,6,6
1,5,16,939,410,529,283,351,119,174,5,5
1,5,17,587,234,353,174,231,59,121,2,1
1,5,18,469,152,317,101,193,47,118,3,4
1,7,0,22394,11929,10465,8869,8551,3010,1897,343,280
1,7,1,1246,622,624,495,505,131,130,31,23
1,7,2,1198,631,567,509,458,135,115,25,25
1,7,3,1269,667,602,538,463,129,141,22,17
1,7,4,1279,700,579,540,478,156,106,14,18
1,7,5,1333,774,559,489,447,279,112,18,12
1,7,6,1726,1015,711,628,559,381,146,34,51
1,7,7,1609,952,657,553,530,391,128,33,41
1,7,8,1532,914,618,597,488,309,124,49,12
1,7,9,1411,790,621,566,516,216,101,31,12
1,7,10,1622,911,711,657,576,246,130,31,9
1,7,11,1530,809,721,650,597,159,112,8,10
1,7,12,1516,797,719,626,576,170,137,11,10
1,7,13,1390,680,710,565,590,114,118,10,6
1,7,14,1156,573,583,486,488,82,93,5,18
1,7,15,1030,487,543,420,470,60,72,10,11
1,7,16,712,312,400,286,354,23,47,5,2
1,7,17,446,172,274,157,238,14,37,2,1
1,7,18,389,123,266,107,218,15,48,4,2
1,9,0,57826,28472,29354,27608,28559,658,618,2950,2632
1,9,1,3438,1702,1736,1645,1677,70,59,268,277
1,9,2,3639,1857,1782,1807,1724,54,67,320,311
1,9,3,3858,1911,1947,1840,1887,67,63,299,317
1,9,4,3587,1861,1726,1791,1666,54,63,266,267
1,9,5,3193,1652,1541,1599,1478,44,50,210,200
1,9,6,3590,1817,1773,1765,1736,41,27,227,179
1,9,7,3359,1675,1684,1607,1643,52,27,219,151
1,9,8,3524,1727,1797,1673,1744,38,29,257,186
1,9,9,3468,1726,1742,1664,1685,42,41,236,187
1,9,10,3868,1939,1929,1882,1885,36,31,168,165
1,9,11,3842,1902,1940,1856,1890,25,32,130,117
1,9,12,3986,2008,1978,1960,1943,33,25,118,84
1,9,13,3660,1792,1868,1756,1817,20,31,75,62
1,9,14,3311,1606,1705,1552,1658,34,29,68,30
1,9,15,3038,1398,1640,1363,1610,22,18,43,39
1,9,16,2049,901,1148,877,1124,14,8,15,47
1,9,17,1316,602,714,589,701,6,11,10,7
1,9,18,1100,396,704,382,691,6,7,21,6
1,11,0,10101,5508,4593,1696,1110,3753,3418,449,415
1,11,1,565,269,296,65,80,202,214,46,57
1,11,2,613,305,308,85,94,223,215,51,60
1,11,3,616,345,271,81,48,255,211,56,43
1,11,4,521,271,250,55,62,213,185,40,33
1,11,5,602,352,250,84,45,270,202,16,15
1,11,6,761,489,272,111,31,372,237,24,18
1,11,7,713,443,270,144,54,288,210,72,37
1,11,8,732,446,286,151,60,285,211,63,49
1,11,9,662,390,272,148,85,235,183,23,54
1,11,10,617,391,226,161,51,227,170,22,12
1,11,11,578,325,253,99,39,221,212,4,8
1,11,12,715,368,347,102,66,264,278,9,6
1,11,13,695,358,337,114,90,243,248,4,9
1,11,14,566,288,278,87,85,199,189,4,5
1,11,15,431,179,252,79,81,99,169,5,4
1,11,16,292,130,162,57,50,71,112,6,1
1,11,17,231,97,134,45,41,52,93,2,2
1,11,18,191,62,129,28,48,34,79,2,2
1,13,0,19448,9024,10424,4915,5398,3941,4924,153,136
1,13,1,1100,562,538,247,248,315,295,7,13
1,13,2,1180,612,568,331,273,289,302,18,20
1,13,3,1263,663,600,329,286,332,303,20,14
1,13,4,1149,625,524,249,215,371,306,12,6
1,13,5,1097,549,548,254,235,287,307,3,7
1,13,6,1136,580,556,275,248,272,305,8,6
1,13,7,1083,464,619,249,265,207,345,18,12
1,13,8,1244,584,660,259,285,275,350,15,5
1,13,9,1124,476,648,245,289,219,356,3,10
1,13,10,1169,532,637,334,339,190,292,10,6
1,13,11,1092,476,616,284,316,183,291,9,7
1,13,12,1341,582,759,351,433,221,316,7,15
1,13,13,1421,690,731,436,436,243,287,10,3
1,13,14,1263,546,717,335,400,202,310,3,3
1,13,15,982,452,530,306,341,140,177,3,3
1,13,16,714,307,407,215,271,90,135,1,1
1,13,17,529,197,332,133,219,63,113,3,2
1,13,18,561,127,434,83,299,42,134,3,3
1,15,0,113605,54481,59124,42381,45045,11846,13637,2358,2256
1,15,1,6568,3321,3247,2433,2379,961,938,220,250
1,15,2,6432,3226,3206,2397,2339,891,934,260,226
1,15,3,7118,3715,3403,2803,2517,985,913,289,255
1,15,4,7430,3784,3646,2747,2577,1060,1103,221,240
1,15,5,7180,3548,3632,2519,2571,1032,1040,130,146
1,15,6,7923,3904,4019,2899,2940,982,1058,181,134
1,15,7,7046,3388,3658,2551,2729,787,895,199,215
1,15,8,6885,3320,3565,2613,2653,655,842,198,146
1,15,9,6760,3285,3475,2559,2585,687,835,137,150
1,15,10,6784,3301,3483,2648,2693,598,756,127,109
1,15,11,7124,3438,3686,2775,2846,620,776,108,97
1,15,12,7937,3806,4131,3044,3171,704,892,105,98
1,15,13,7871,3684,4187,2954,3251,677,857,66,65
1,15,14,6796,3089,3707,2531,2962,516,683,49,43
1,15,15,5504,2472,3032,2102,2519,340,452,15,30
1,15,16,3788,1655,2133,1444,1845,192,256,21,22
1,15,17,2334,906,1428,793,1214,99,198,15,15
1,15,18,2125,639,1486,569,1254,60,209,17,15
1,17,0,33254,15895,17359,9343,10009,6351,7276,472,399
1,17,1,1882,964,918,526,511,448,428,86,76
1,17,2,1935,953,982,531,544,427,452,55,75
1,17,3,1957,996,961,510,502,486,473,50,37
1,17,4,1818,975,843,540,465,443,389,31,34
1,17,5,1883,960,923,545,486,405,437,23,11
1,17,6,2371,1171,1200,615,605,535,581,23,21
1,17,7,1857,888,969,477,512,382,445,44,19
1,17,8,1791,849,942,462,489,354,446,30,28
1,17,9,1855,879,976,499,531,365,435,32,21
1,17,10,2149,1014,1135,622,653,369,471,23,20
1,17,11,2196,1067,1129,623,632,423,477,22,12
1,17,12,2458,1193,1265,698,764,465,479,10,13
1,17,13,2387,1122,1265,684,742,423,507,19,8
1,17,14,2119,984,1135,617,722,355,406,5,4
1,17,15,1792,808,984,589,673,216,308,9,4
1,17,16,1293,551,742,410,497,137,237,5,7
1,17,17,743,309,434,226,298,76,136,1,3
1,17,18,768,212,556,169,383,42,169,4,6
1,19,0,26196,12926,13270,12218,12589,642,604,229,220
1,19,1,1213,583,630,550,584,38,50,17,15
1,19,2,1324,701,623,673,585,35,30,35,25
1,19,3,1489,761,728,725,686,34,48,24,22
1,19,4,1473,720,753,662,705,52,51,13,39
1,19,5,1299,658,641,613,597,49,44,9,21
1,19,6,1521,802,719,742,694,61,21,17,14
1,19,7,1289,628,661,579,633,44,20,22,12
1,19,8,1278,617,661,574,628,36,28,17,15
1,19,9,1418,712,706,687,678,22,25,18,9
1,19,10,1726,868,858,818,824,45,30,10,11
1,19,11,1826,940,886,908,843,28,29,8,7
1,19,12,1984,978,1006,933,952,38,47,10,8
1,19,13,2192,1075,1117,1014,1051,48,54,5,8
1,19,14,1844,914,930,861,874,41,44,8,2
1,19,15,1763,859,904,811,866,39,33,7,4
1,19,16,1221,554,667,537,643,12,18,4,3
1,19,17,759,347,412,333,394,11,18,3,3
1,19,18,577,209,368,198,352,9,14,2,2
1,21,0,44428,21800,22628,19257,19985,2438,2508,1990,1646
1,21,1,2711,1378,1333,1214,1157,182,180,237,183
1,21,2,2984,1472,1512,1280,1323,209,205,219,267
1,21,3,3036,1497,1539,1283,1349,225,200,217,219
1,21,4,2841,1434,1407,1267,1228,171,176,155,147
1,21,5,2502,1283,1219,1099,1062,179,156,148,108
1,21,6,2989,1506,1483,1288,1273,203,193,150,100
1,21,7,2633,1311,1322,1120,1161,174,147,137,79
1,21,8,2652,1316,1336,1163,1162,128,152,128,116
1,21,9,2790,1346,1444,1163,1275,160,151,170,137
1,21,10,2857,1458,1399,1315,1215,124,167,124,100
1,21,11,2888,1449,1439,1303,1280,133,145,123,67
1,21,12,3033,1505,1528,1343,1360,146,153,77,40
1,21,13,2912,1387,1525,1234,1359,143,154,27,25
1,21,14,2497,1183,1314,1080,1174,94,128,30,21
1,21,15,2054,931,1123,855,1042,77,76,25,15
1,21,16,1401,658,743,612,681,42,57,7,5
1,21,17,835,361,474,340,432,22,37,4,6
1,21,18,813,325,488,298,452,26,31,12,11
1,23,0,12589,5938,6651,3537,3734,2399,2906,55,73
1,23,1,662,338,324,194,169,146,159,5,10
1,23,2,630,305,325,167,187,142,140,12,16
1,23,3,718,379,339,218,195,162,144,5,6
1,23,4,728,391,337,240,179,153,160,3,1
1,23,5,650,300,350,183,188,119,162,2,7
1,23,6,729,370,359,199,191,169,167,2,3
1,23,7,580,271,309,151,167,122,139,4,2
1,23,8,659,298,361,175,209,119,149,2,0
1,23,9,688,319,369,203,218,114,150,5,8
1,23,10,755,348,407,215,244,130,161,2,4
1,23,11,853,404,449,232,239,171,208,1,2
1,23,12,998,481,517,275,277,203,238,1,2
1,23,13,970,452,518,262,248,191,272,2,0
1,23,14,855,370,485,200,259,169,222,0,4
1,23,15,796,349,447,225,274,124,172,3,7
1,23,16,593,278,315,196,193,82,122,5,1
1,23,17,376,149,227,102,160,47,67,1,0
1,23,18,349,136,213,100,137,36,74,0,0
1,25,0,23622,11153,12469,6150,6565,4947,5818,162,148
1,25,1,1371,673,698,349,342,336,352,12,14
1,25,2,1320,674,646,328,330,356,324,17,8
1,25,3,1405,729,676,349,340,375,333,20,10
1,25,4,1488,736,752,340,391,395,354,11,18
1,25,5,1423,691,732,330,323,353,409,7,8
1,25,6,1511,758,753,371,366,383,384,12,5
1,25,7,1163,542,621,291,305,248,312,9,4
1,25,8,1344,623,721,331,356,286,353,10,11
1,25,9,1334,621,713,302,348,315,358,7,17
1,25,10,1470,678,792,367,387,300,396,11,10
1,25,11,1556,729,827,441,408,283,414,17,6
1,25,12,1742,827,915,461,476,361,434,7,10
1,25,13,1652,758,894,457,464,295,419,6,9
1,25,14,1373,644,729,364,439,272,277,7,3
1,25,15,1267,591,676,400,426,182,246,2,4
1,25,16,984,425,559,311,370,113,187,1,3
